company,ticker,link
A. O. Smith Corporation,AOS,https://www.wikipedia.org/wiki/A._O._Smith
"A10 Networks, Inc.",ATEN,https://www.wikipedia.org/wiki/A10_Networks
AAR Corporation,AIR,https://www.wikipedia.org/wiki/AAR_Corp
Aaron's Inc.,AAN,"https://www.wikipedia.org/wiki/Aaron%27s,_Inc."
ABB LTD.,ABB,https://www.wikipedia.org/wiki/ABB_Group
Abbott Laboratories,ABT,https://www.wikipedia.org/wiki/Abbott_Laboratories
AbbVie Inc.,ABBV,https://www.wikipedia.org/wiki/AbbVie
Abercrombie & Fitch,ANF,https://www.wikipedia.org/wiki/Abercrombie_%26_Fitch
ABM Industries Incorporated,ABM,https://www.wikipedia.org/wiki/ABM_Industries
Accenture plc,ACN,https://www.wikipedia.org/wiki/Accenture
ACCO Brands Corporation,ACCO,https://www.wikipedia.org/wiki/ACCO_Brands
Actuant Corporation,ATU,https://www.wikipedia.org/wiki/Actuant
Acushnet Holdings Corp.,GOLF,https://www.wikipedia.org/wiki/Acushnet_Company
"Acuity Brands, Inc.",AYI,https://www.wikipedia.org/wiki/Acuity_Brands
Adams Express Company,ADX,https://www.wikipedia.org/wiki/Adams_Express_Company
Adeptus Health Inc.,ADPT,https://www.wikipedia.org/wiki/Adeptus_Health
Adient Plc,ADNT,https://www.wikipedia.org/wiki/Adient
"Advance Auto Parts, Inc.",AAP,https://www.wikipedia.org/wiki/Advance_Auto_Parts
Advanced Disposal Services,ADSW,https://www.wikipedia.org/w/index.php?title=Advanced_Disposal_Services&action=edit&redlink=1
AdvanSix,ASIX,https://www.wikipedia.org/wiki/AdvanSix
Advantage Oil & Gas Ltd.,AAV,https://www.wikipedia.org/wiki/Advantage_Oil_%26_Gas
AECOM Technology Corporation,ACM,https://www.wikipedia.org/wiki/AECOM
Aegean Marine Petroleum Network Inc.,ANW,https://www.wikipedia.org/wiki/Aegean_Marine_Petroleum_Network_Inc.
Aegon N.V.,AEG,https://www.wikipedia.org/wiki/Aegon_N.V.
AerCap Holdings N.V.,AER,https://www.wikipedia.org/wiki/AerCap
"Aerohive Networks, Inc.",HIVE,https://www.wikipedia.org/wiki/Aerohive_Networks
Aerojet Rocketdyne Holdings Inc.,AJRD,https://www.wikipedia.org/wiki/Aerojet_Rocketdyne_Holdings
The AES Corporation,AES,https://www.wikipedia.org/wiki/AES_Corporation
AES Trust III,AES.PRC,https://www.wikipedia.org/wiki/AES_Corporation
Aetna Inc.,AET,https://www.wikipedia.org/wiki/Aetna
Affiliated Managers Group,AMG,https://www.wikipedia.org/wiki/Affiliated_Managers_Group
AFLAC Incorporated,AFL,https://www.wikipedia.org/wiki/Aflac
AFLAC Incorporated,AFSD,https://www.wikipedia.org/wiki/Aflac
Agco Corporation,AGCO,https://www.wikipedia.org/wiki/AGCO
Agilent Technologies Inc.,A,https://www.wikipedia.org/wiki/Agilent_Technologies
Agnico Eagle Mines Limited,AEM,https://www.wikipedia.org/wiki/Agnico_Eagle_Mines_Limited
Agrium Inc.,AGU,https://www.wikipedia.org/wiki/Agrium
A.H. Belo Corporation,AHC,https://www.wikipedia.org/wiki/A._H._Belo
Air Lease Corporation,AL,https://www.wikipedia.org/wiki/Air_Lease_Corporation
"Air Products and Chemicals, Inc.",APD,https://www.wikipedia.org/wiki/Air_Products_and_Chemicals
Aircastle Limited,AYR,https://www.wikipedia.org/wiki/Aircastle
AK Steel Holding Corp,AKS,https://www.wikipedia.org/wiki/AK_Steel_Holding
Alabama Power Company,ALP.PRO,https://www.wikipedia.org/wiki/Alabama_Power
"Alaska Air Group, Inc.",ALK,https://www.wikipedia.org/wiki/Alaska_Air_Group
Albany International,AIN,https://www.wikipedia.org/wiki/Albany_International
Albemarle Corporation,ALB,https://www.wikipedia.org/wiki/Albemarle_Corporation
"Alcoa, Inc.",AA,https://www.wikipedia.org/wiki/Alcoa
Alere Inc.,ALR,https://www.wikipedia.org/wiki/Alere
Alere Inc.,ALR.PRB,https://www.wikipedia.org/wiki/Alere
"Alexander & Baldwin, Inc.",ALEX,https://www.wikipedia.org/wiki/Alexander_%26_Baldwin
Alexanders Inc.,ALX,https://www.wikipedia.org/wiki/Alexander%27s
Alexandria Real Estate Equities,ARE,https://www.wikipedia.org/wiki/Alexandria_Real_Estate_Equities
Algonquin Power & Utilities,AQN,https://www.wikipedia.org/wiki/Algonquin_Power_%26_Utilities
Alibaba Group Holding Ltd.,BABA,https://www.wikipedia.org/wiki/Alibaba_Group
Alleghany Corporation,Y,https://www.wikipedia.org/wiki/Alleghany_Corporation
Allegheny Technologies Incorporated,ATI,https://www.wikipedia.org/wiki/Allegheny_Technologies
Allegion Public Limited Company,ALLE,https://www.wikipedia.org/wiki/Allegion
Allergan Inc.,AGN,https://www.wikipedia.org/wiki/Allergan
Allergan Inc.,AGN.PRA,https://www.wikipedia.org/wiki/Allergan
Alliance Data Systems Corporation,ADS,https://www.wikipedia.org/wiki/Alliance_Data
"Alliance One International, Inc.",AOI,https://www.wikipedia.org/wiki/Alliance_One_International
AllianceBernstein Holding L.P.,AB,https://www.wikipedia.org/wiki/AllianceBernstein
Alliant Energy Corporation,LNT,https://www.wikipedia.org/wiki/Alliant_Energy
Allied Capital Corporation,AFC,https://www.wikipedia.org/wiki/Allied_Capital
"Allison Transmission Holdings, Inc.",ALSN,https://www.wikipedia.org/wiki/Allison_Transmission
Allstate Corporation,ALL,https://www.wikipedia.org/wiki/Allstate
Ally Financial Inc.,ALLY,https://www.wikipedia.org/wiki/Ally_Financial
