company,ticker,link,type
A. O. Smith Corporation,AOS,https://www.wikipedia.org/wiki/A._O._Smith,public
"A10 Networks, Inc.",ATEN,https://www.wikipedia.org/wiki/A10_Networks,public
AAR Corporation,AIR,https://www.wikipedia.org/wiki/AAR_Corp,public
Aaron's Inc.,AAN,"https://www.wikipedia.org/wiki/Aaron%27s,_Inc.",public
ABB LTD.,ABB,https://www.wikipedia.org/wiki/ABB_Group,public
Abbott Laboratories,ABT,https://www.wikipedia.org/wiki/Abbott_Laboratories,public
AbbVie Inc.,ABBV,https://www.wikipedia.org/wiki/AbbVie,public
Abercrombie & Fitch,ANF,https://www.wikipedia.org/wiki/Abercrombie_%26_Fitch,public
ABM Industries Incorporated,ABM,https://www.wikipedia.org/wiki/ABM_Industries,public
Accenture plc,ACN,https://www.wikipedia.org/wiki/Accenture,public
ACCO Brands Corporation,ACCO,https://www.wikipedia.org/wiki/ACCO_Brands,public
Actuant Corporation,ATU,https://www.wikipedia.org/wiki/Actuant,public
Acushnet Holdings Corp.,GOLF,https://www.wikipedia.org/wiki/Acushnet_Company,public
"Acuity Brands, Inc.",AYI,https://www.wikipedia.org/wiki/Acuity_Brands,public
Adams Express Company,ADX,https://www.wikipedia.org/wiki/Adams_Express_Company,public
Adeptus Health Inc.,ADPT,https://www.wikipedia.org/wiki/Adeptus_Health,
Adient Plc,ADNT,https://www.wikipedia.org/wiki/Adient,
"Advance Auto Parts, Inc.",AAP,https://www.wikipedia.org/wiki/Advance_Auto_Parts,public
Advanced Disposal Services,ADSW,https://www.wikipedia.org/w/index.php?title=Advanced_Disposal_Services&action=edit&redlink=1,
AdvanSix,ASIX,https://www.wikipedia.org/wiki/AdvanSix,public
Advantage Oil & Gas Ltd.,AAV,https://www.wikipedia.org/wiki/Advantage_Oil_%26_Gas,public
AECOM Technology Corporation,ACM,https://www.wikipedia.org/wiki/AECOM,public
Aegean Marine Petroleum Network Inc.,ANW,https://www.wikipedia.org/wiki/Aegean_Marine_Petroleum_Network_Inc.,
Aegon N.V.,AEG,https://www.wikipedia.org/wiki/Aegon_N.V.,public
AerCap Holdings N.V.,AER,https://www.wikipedia.org/wiki/AerCap,public
"Aerohive Networks, Inc.",HIVE,https://www.wikipedia.org/wiki/Aerohive_Networks,public
Aerojet Rocketdyne Holdings Inc.,AJRD,https://www.wikipedia.org/wiki/Aerojet_Rocketdyne_Holdings,
The AES Corporation,AES,https://www.wikipedia.org/wiki/AES_Corporation,public
AES Trust III,AES.PRC,https://www.wikipedia.org/wiki/AES_Corporation,public
Aetna Inc.,AET,https://www.wikipedia.org/wiki/Aetna,
Affiliated Managers Group,AMG,https://www.wikipedia.org/wiki/Affiliated_Managers_Group,public
AFLAC Incorporated,AFL,https://www.wikipedia.org/wiki/Aflac,public
AFLAC Incorporated,AFSD,https://www.wikipedia.org/wiki/Aflac,public
Agco Corporation,AGCO,https://www.wikipedia.org/wiki/AGCO,public
Agilent Technologies Inc.,A,https://www.wikipedia.org/wiki/Agilent_Technologies,public
Agnico Eagle Mines Limited,AEM,https://www.wikipedia.org/wiki/Agnico_Eagle_Mines_Limited,public
Agrium Inc.,AGU,https://www.wikipedia.org/wiki/Agrium,public
A.H. Belo Corporation,AHC,https://www.wikipedia.org/wiki/A._H._Belo,public
Air Lease Corporation,AL,https://www.wikipedia.org/wiki/Air_Lease_Corporation,public
"Air Products and Chemicals, Inc.",APD,https://www.wikipedia.org/wiki/Air_Products_and_Chemicals,public
Aircastle Limited,AYR,https://www.wikipedia.org/wiki/Aircastle,
AK Steel Holding Corp,AKS,https://www.wikipedia.org/wiki/AK_Steel_Holding,public
Alabama Power Company,ALP.PRO,https://www.wikipedia.org/wiki/Alabama_Power,
"Alaska Air Group, Inc.",ALK,https://www.wikipedia.org/wiki/Alaska_Air_Group,public
Albany International,AIN,https://www.wikipedia.org/wiki/Albany_International,public
Albemarle Corporation,ALB,https://www.wikipedia.org/wiki/Albemarle_Corporation,public
"Alcoa, Inc.",AA,https://www.wikipedia.org/wiki/Alcoa,public
Alere Inc.,ALR,https://www.wikipedia.org/wiki/Alere,public
Alere Inc.,ALR.PRB,https://www.wikipedia.org/wiki/Alere,public
"Alexander & Baldwin, Inc.",ALEX,https://www.wikipedia.org/wiki/Alexander_%26_Baldwin,public
Alexanders Inc.,ALX,https://www.wikipedia.org/wiki/Alexander%27s,public
Alexandria Real Estate Equities,ARE,https://www.wikipedia.org/wiki/Alexandria_Real_Estate_Equities,public
Algonquin Power & Utilities,AQN,https://www.wikipedia.org/wiki/Algonquin_Power_%26_Utilities,public
Alibaba Group Holding Ltd.,BABA,https://www.wikipedia.org/wiki/Alibaba_Group,public
Alleghany Corporation,Y,https://www.wikipedia.org/wiki/Alleghany_Corporation,
Allegheny Technologies Incorporated,ATI,https://www.wikipedia.org/wiki/Allegheny_Technologies,public
Allegion Public Limited Company,ALLE,https://www.wikipedia.org/wiki/Allegion,public
Allergan Inc.,AGN,https://www.wikipedia.org/wiki/Allergan,
Allergan Inc.,AGN.PRA,https://www.wikipedia.org/wiki/Allergan,
Alliance Data Systems Corporation,ADS,https://www.wikipedia.org/wiki/Alliance_Data,public
"Alliance One International, Inc.",AOI,https://www.wikipedia.org/wiki/Alliance_One_International,public
AllianceBernstein Holding L.P.,AB,https://www.wikipedia.org/wiki/AllianceBernstein,public
Alliant Energy Corporation,LNT,https://www.wikipedia.org/wiki/Alliant_Energy,public
Allied Capital Corporation,AFC,https://www.wikipedia.org/wiki/Allied_Capital,
"Allison Transmission Holdings, Inc.",ALSN,https://www.wikipedia.org/wiki/Allison_Transmission,public
Allstate Corporation,ALL,https://www.wikipedia.org/wiki/Allstate,public
Ally Financial Inc.,ALLY,https://www.wikipedia.org/wiki/Ally_Financial,public
"Alon USA Energy, Inc.",ALJ,https://www.wikipedia.org/wiki/Alon_USA,public
"Altria Group, Inc.",MO,https://www.wikipedia.org/wiki/Altria,public
Aluminum Corporation of China Ltd,ACH,https://www.wikipedia.org/wiki/Aluminum_Corporation_of_China_Limited,public
"Amber Road, Inc.",AMBR,"https://www.wikipedia.org/wiki/Amber_Road,_Inc.",public
Ambev S.A.,ABEV,https://www.wikipedia.org/wiki/AmBev,public
"AMC Entertainment Holdings, Inc.",AMC,https://www.wikipedia.org/wiki/AMC_Theatres,public
Amec Foster Wheeler PLC,AMFW,https://www.wikipedia.org/wiki/Amec_Foster_Wheeler,
Ameren Corporation,AEE,https://www.wikipedia.org/wiki/Ameren,public
"Ameresco, Inc.",AMRC,https://www.wikipedia.org/w/index.php?title=Ameresco&action=edit&redlink=1,
"American Axle & Manufacturing Holdings, Inc.",AXL,https://www.wikipedia.org/wiki/American_Axle,public
"American Campus Communities, Inc.",ACC,https://www.wikipedia.org/wiki/American_Campus_Communities,
"American Eagle Outfitters, Inc.",AEO,https://www.wikipedia.org/wiki/American_Eagle_Outfitters,public
American Electric Power Company,AEP,https://www.wikipedia.org/wiki/American_Electric_Power,public
American Express Company,AXP,https://www.wikipedia.org/wiki/American_Express,public
American Financial Group Inc.,AFG,https://www.wikipedia.org/wiki/American_Financial_Group,public
American Homes 4 Rent,AMH,https://www.wikipedia.org/wiki/American_Homes_4_Rent,public
American International Group Inc,AIG,https://www.wikipedia.org/wiki/American_International_Group,public
American States Water Co.,AWR,https://www.wikipedia.org/wiki/American_States_Water,public
American Tower,AMT,https://www.wikipedia.org/wiki/American_Tower,public
"American Water Works Company, Inc.",AWK,https://www.wikipedia.org/wiki/American_Water_(company),public
Amerigas Partners lp,APU,https://www.wikipedia.org/wiki/UGI_Corporation,public
"Ameriprise Financial, Inc.",AMP,https://www.wikipedia.org/wiki/Ameriprise_Financial,public
AmerisourceBergen Corporation,ABC,https://www.wikipedia.org/wiki/AmerisourceBergen,public
Ametek Inc.,AME,https://www.wikipedia.org/wiki/Ametek,public
Amira Nature Foods Ltd,ANFI,https://www.wikipedia.org/wiki/Amira_Nature_Foods,public
Ampco-Pittsburgh Corporation,AP,https://www.wikipedia.org/wiki/Ampco_Pittsburgh,
Amphenol Corporation,APH,https://www.wikipedia.org/wiki/Amphenol,public
AMREP Corporation,AXR,https://www.wikipedia.org/wiki/Amrep_Corporation,public
"AmTrust Financial Services, Inc.",AFSI.PRA,"https://www.wikipedia.org/wiki/AmTrust_Financial_Services,_Inc.",
"AmTrust Financial Services, Inc.",AFSI.PRB,"https://www.wikipedia.org/wiki/AmTrust_Financial_Services,_Inc.",
