neighborhood,rent_min,rent_max,n_beds_min,n_beds_max,n_baths_min,n_baths_max,area_min,area_max,address_1,address_2
Studio-City_Los-Angeles_CA,7600.0,7600.0,3,3,3.0,3.0,2150.0,2150.0,11734 Sunshine Ter,"Studio City, CA 91604"
Studio-City_Los-Angeles_CA,1789.0,3276.0,Studio,3,1.0,2.0,426.0,1567.0,Ava Studio City,"10979 Bluffside Dr, Los Angeles, CA 91604"
Studio-City_Los-Angeles_CA,1895.0,1995.0,1,1,1.0,1.0,750.0,750.0,Arch Apartments,"4151 Arch Dr, Studio City, CA 91604"
Studio-City_Los-Angeles_CA,2695.0,2695.0,2,2,2.0,2.0,1150.0,1150.0,4418 Colfax Ave Apt 3,"Studio City, CA 91602"
Studio-City_Los-Angeles_CA,1850.0,2895.0,Studio,2,1.0,1.0,470.0,710.0,Alhambra at Studio City,"10937 Fruitland Dr, Los Angeles, CA 91604"
Studio-City_Los-Angeles_CA,7995.0,7995.0,3,3,3.0,3.0,2190.0,2190.0,4267 Irvine Ave,"Studio City, CA 91604"
Studio-City_Los-Angeles_CA,6250.0,6250.0,3,3,2.0,2.0,1155.0,1155.0,3985 Alta Mesa Dr,"Studio City, CA 91604"
Studio-City_Los-Angeles_CA,2695.0,2695.0,2,2,2.0,2.0,923.0,923.0,11315,"11315 Moorpark St, Los Angeles, CA 91602"
Studio-City_Los-Angeles_CA,1795.0,2050.0,Studio,1,1.0,1.0,450.0,450.0,4201-05,"4201 Arch Dr Apt 5, Los Angeles, CA 91604"
Studio-City_Los-Angeles_CA,6500.0,6500.0,3,3,2.0,2.0,1120.0,1120.0,11661 Sunshine Ter,"Los Angeles, CA 91604"
Studio-City_Los-Angeles_CA,2050.0,2195.0,Studio,1,1.0,1.0,595.0,600.0,Studio City Hills,"10913 Fruitland Dr, Los Angeles, CA 91604"
Studio-City_Los-Angeles_CA,6900.0,6900.0,3,3,3.0,3.0,2364.0,2364.0,4219 Radford Ave,"Studio City, CA 91604"
Studio-City_Los-Angeles_CA,1895.0,3395.0,Studio,2,1.0,2.0,230.0,1311.0,3960,"3960 Carpenter Ave, Los Angeles, CA 91604"
Studio-City_Los-Angeles_CA,13500.0,13500.0,4,4,5.0,5.0,3246.0,3246.0,4452 Bellingham Ave,"Studio City, CA 91604"
Studio-City_Los-Angeles_CA,8900.0,8900.0,4,4,4.0,4.0,3088.0,3088.0,12304 Moorpark St Unit 103,"Studio City, CA 91604"
Studio-City_Los-Angeles_CA,4748.0,4748.0,1,3,1.0,2.0,850.0,2059.0,Vista Paradiso,"11805 Laurelwood Dr, Los Angeles, CA 91604"
Studio-City_Los-Angeles_CA,2745.0,3350.0,1,2,1.0,2.0,719.0,891.0,Catalina Apartments,"3930 Laurel Canyon Blvd, Los Angeles, CA 91604"
Studio-City_Los-Angeles_CA,3500.0,3500.0,2,2,2.0,2.0,1206.0,1206.0,11044 Acama St Unit 102,"Studio City, CA 91602"
Studio-City_Los-Angeles_CA,2795.0,2795.0,2,2,2.0,2.0,1200.0,1200.0,Ethel Avenue Apartments,"4225 Ethel Ave, Los Angeles, CA 91604"
Studio-City_Los-Angeles_CA,5600.0,5600.0,3,3,3.0,3.0,1720.0,1720.0,4240 Laurel Canyon Blvd Unit 106,"Studio City, CA 91604"
Studio-City_Los-Angeles_CA,18000.0,18000.0,4,4,3.0,3.0,2880.0,2880.0,4429 Van Noord Ave,"Studio City, CA 91604"
Studio-City_Los-Angeles_CA,2788.0,3666.0,1,2,1.0,2.0,574.0,1525.0,Avalon Studio City,"10945 Bluffside Dr, Los Angeles, CA 91604"
Studio-City_Los-Angeles_CA,1795.0,2195.0,Studio,1,1.0,2.0,485.0,855.0,Studio City Midrise Apartments,"4176 Arch Dr, Los Angeles, CA 91604"
Studio-City_Los-Angeles_CA,5775.0,5775.0,3,3,3.0,3.0,1766.0,1766.0,4297 Tujunga Ave,"Studio City, CA 91604"
Studio-City_Los-Angeles_CA,8500.0,8500.0,3,3,3.0,3.0,3029.0,3029.0,11340 Dona Teresa Dr,"Studio City, CA 91604"
Studio-City_Los-Angeles_CA,2108.0,3982.0,Studio,2,1.0,2.0,502.0,1319.0,L'Estancia,"4045 Vineland Ave, Los Angeles, CA 91604"
Studio-City_Los-Angeles_CA,18000.0,18000.0,5,5,5.0,5.0,3877.0,3877.0,12517 Hortense St,"Studio City, CA 91604"
Studio-City_Los-Angeles_CA,7900.0,7900.0,3,3,2.0,2.0,2404.0,2404.0,2925 Dona Susana Dr,"Studio City, CA 91604"
Studio-City_Los-Angeles_CA,4599.0,4599.0,3,3,2.0,2.0,1830.0,1830.0,4461 Tujunga Ave Apt 110,"Studio City, CA 91602"
Studio-City_Los-Angeles_CA,2387.0,2675.0,1,2,1.0,2.0,775.0,1140.0,4250 Coldwater Canyon Apartments,"4250 Coldwater Canyon Ave, Los Angeles, CA 91604"
Studio-City_Los-Angeles_CA,7650.0,7650.0,3,3,2.0,2.0,2230.0,2230.0,4436 Irvine Ave,"Studio City, CA 91602"
Studio-City_Los-Angeles_CA,20500.0,20500.0,5,5,6.0,6.0,5421.0,5421.0,4445 Camellia Ave,"Studio City, CA 91602"
Studio-City_Los-Angeles_CA,5950.0,5950.0,2,2,2.0,2.0,1661.0,1661.0,12424 Sarah St,"Studio City, CA 91604"
Studio-City_Los-Angeles_CA,4950.0,4950.0,2,2,2.0,2.0,1564.0,1564.0,4401 Radford Ave,"Los Angeles, CA 91607"
Studio-City_Los-Angeles_CA,8950.0,8950.0,2,2,2.0,2.0,1446.0,1446.0,11539 Sunshine Ter,"Studio City, CA 91604"
Studio-City_Los-Angeles_CA,2350.0,2350.0,2,2,2.0,2.0,1100.0,1100.0,(Sruli) Bloomfield Plaza Estate,"12848 Bloomfield St, Studio City, CA 91604"
Studio-City_Los-Angeles_CA,4300.0,4300.0,2,2,3.0,3.0,1500.0,1500.0,12045 Hoffman St Unit 205,"Studio City, CA 91604"
Studio-City_Los-Angeles_CA,12750.0,12750.0,4,4,3.0,3.0,3600.0,3600.0,12316 Landale St,"Studio City, CA 91604"
Studio-City_Los-Angeles_CA,3280.0,3280.0,2,2,2.0,2.0,1250.0,1250.0,Parc St Clair East,"11321 Moorpark St, Studio City, CA 91602"
Studio-City_Los-Angeles_CA,4000.0,4000.0,3,3,2.0,2.0,1474.0,1474.0,4332 Whitsett Ave Unit 2,"Studio City, CA 91604"
Studio-City_Los-Angeles_CA,15000.0,15000.0,4,4,4.0,4.0,3255.0,3255.0,12334 Cantura St,"Studio City, CA 91604"
Studio-City_Los-Angeles_CA,15000.0,15000.0,5,5,5.0,5.0,3852.0,3852.0,11310 Valley Spring Ln,"Studio City, CA 91602"
Studio-City_Los-Angeles_CA,7395.0,7395.0,2,2,2.0,2.0,1378.0,1378.0,4213 Bellingham Ave,"Studio City, CA 91604"
Studio-City_Los-Angeles_CA,,,1,2,1.0,1.0,654.0,1135.0,The Enclave Apartments,"10900 Bluffside Dr, Studio City, CA 91604"
Studio-City_Los-Angeles_CA,18000.0,18000.0,4,4,2.0,2.0,2734.0,2734.0,8147 Mulholland Ter,"Los Angeles, CA 90046"
Studio-City_Los-Angeles_CA,1700.0,1700.0,1,1,1.0,1.0,600.0,600.0,10721 Aqua Vista St Apt 2,"Toluca Lake, CA 91602"
Studio-City_Los-Angeles_CA,10500.0,10500.0,3,3,2.0,2.0,1334.0,1334.0,3375 Coldwater Canyon Ave,"Studio City, CA 91604"
Studio-City_Los-Angeles_CA,2295.0,2295.0,2,2,1.0,1.0,,,"Valley Spring, 11339-11345","11339-11345 Valley Spring Ln, Studio City, CA 91602"
Studio-City_Los-Angeles_CA,2795.0,2795.0,3,3,2.0,2.0,,,12835 Kling St.,"12835 Kling St, Studio City, CA 91604"
Studio-City_Los-Angeles_CA,9500.0,9500.0,3,3,2.0,2.0,2665.0,2665.0,3928 Fairway Ave,"Studio City, CA 91604"
Studio-City_Los-Angeles_CA,4487.0,4487.0,3,3,2.0,2.0,1479.0,1479.0,12905 Landale St,"Studio City, CA 91604"
Studio-City_Los-Angeles_CA,2895.0,3095.0,2,2,1.0,2.0,700.0,1100.0,(Shaina) 4216 Mary Ellen Avenue,"4216 Mary Ellen Ave, Studio City, CA 91604"
Studio-City_Los-Angeles_CA,3695.0,3695.0,3,3,2.0,2.0,1242.0,1242.0,Fruitland,"11019 Fruitland Dr, Studio City, CA 91604"
Studio-City_Los-Angeles_CA,10000.0,10000.0,4,4,3.0,3.0,1918.0,1918.0,3815 Laurel Canyon Blvd,"Studio City, CA 91604"
Studio-City_Los-Angeles_CA,6100.0,6100.0,3,3,3.0,3.0,2400.0,2400.0,4000 Denny Ave,"Studio City, CA 91604"
Studio-City_Los-Angeles_CA,5995.0,5995.0,3,3,3.0,3.0,,,3851 Vineland Ave,"Studio City, CA 91604"
Studio-City_Los-Angeles_CA,8950.0,8950.0,2,2,3.0,3.0,2000.0,2000.0,4245 Riverton Ave,"North Hollywood, CA 91602"
Studio-City_Los-Angeles_CA,2750.0,2975.0,2,2,2.0,2.0,1242.0,1312.0,LOOK AND LEASE OFFER: $1000.00 OFF 1st MONTH'S RENT IF APPLICATION IS SUBMITTED WITHIN 24 ,"11641 Valley Spring Ln, Studio City, CA 91604"
Studio-City_Los-Angeles_CA,2865.0,2865.0,2,2,2.0,2.0,1008.0,1008.0,Studio Parc North,"4225 Longridge Ave, Los Angeles, CA 91604"
Studio-City_Los-Angeles_CA,2950.0,2950.0,2,2,2.0,2.0,900.0,900.0,4202 Tujunga Ave,"4202 Tujunga Ave, Studio City, CA 91604"
Studio-City_Los-Angeles_CA,2295.0,2295.0,1,1,1.0,1.0,700.0,700.0,(6065) 12231 Moorpark St.,"12231 Moorpark St, Studio City, CA 91604"
Studio-City_Los-Angeles_CA,2795.0,2795.0,2,2,2.0,2.0,960.0,960.0,Blumax TW LLC,"4161 Tujunga Ave, Studio City, CA 91604"
Studio-City_Los-Angeles_CA,2495.0,2495.0,2,2,2.0,2.0,950.0,950.0,"Archview Terrace, LLC","4248 Arch Dr, Studio City, CA 91604"
Studio-City_Los-Angeles_CA,1950.0,1950.0,1,1,1.0,1.0,,,aca111,"11150 Acama St, Studio City, CA 91602"
Studio-City_Los-Angeles_CA,2100.0,2100.0,1,1,1.0,1.0,600.0,600.0,4647co,"4647 Coldwater Canyon Ave, Studio City, CA 91604"
Studio-City_Los-Angeles_CA,1995.0,1995.0,1,1,1.0,1.0,,,"4239 Tujunga Avenue, Studio City CA 91604","4239 Tujunga Ave, Studio City, CA 91604"
Studio-City_Los-Angeles_CA,2395.0,2395.0,1,1,1.0,1.0,,,Canyon Glen Apartments,"4627 Coldwater Canyon Ave, Studio City, CA 91604"
Studio-City_Los-Angeles_CA,2400.0,2400.0,1,1,1.0,1.0,1000.0,1000.0,4247 Laurel Canyon Blvd,"Studio City, CA 91604"
Studio-City_Los-Angeles_CA,1995.0,1995.0,1,1,1.0,1.0,,,12737 Moorpark St,"Studio City, CA 91604"
Studio-City_Los-Angeles_CA,3150.0,3150.0,2,2,2.0,2.0,1095.0,1095.0,Studio Babcock,"4342 Babcock Ave, Studio City, CA 91604"
Studio-City_Los-Angeles_CA,10000.0,10000.0,3,3,3.0,3.0,1812.0,1812.0,3931 Berry Dr,"Studio City, CA 91604"
Studio-City_Los-Angeles_CA,2950.0,2950.0,2,2,2.0,2.0,900.0,900.0,4202 Tujunga Ave Apt 202,"Studio City, CA 91604"
Studio-City_Los-Angeles_CA,2595.0,2595.0,2,2,2.0,2.0,1000.0,1000.0,12960 Moorpark St Apt 2,"Studio City, CA 91604"
Studio-City_Los-Angeles_CA,3495.0,3495.0,2,2,2.0,2.0,,,12325 Moorpark St Apt 206,"Studio City, CA 91604"
Studio-City_Los-Angeles_CA,1775.0,1775.0,Studio,Studio,1.0,1.0,500.0,500.0,8200 Wilshire K2 LLC,"10944 Bluffside Dr, Studio City, CA 91604"
Studio-City_Los-Angeles_CA,1695.0,1695.0,Studio,Studio,1.0,1.0,,,10822 Ventura Blvd.,"10822 Ventura Blvd, Studio City, CA 91604"
Studio-City_Los-Angeles_CA,3495.0,3495.0,3,3,2.0,2.0,1300.0,1300.0,4213 Whitsett Ave Apt 3,"Studio City, CA 91604"
Studio-City_Los-Angeles_CA,3829.0,3829.0,2,2,2.0,2.0,1350.0,1350.0,"Mary Ellen BWB, LLC","4243 Mary Ellen Ave, Studio City, CA 91604"
Studio-City_Los-Angeles_CA,1875.0,1875.0,Studio,Studio,1.0,1.0,550.0,550.0,Stormy Liberal (Fruitland),"10831 Fruitland Dr, Studio City, CA 91604"
Studio-City_Los-Angeles_CA,1474.0,1474.0,Studio,Studio,1.0,1.0,200.0,200.0,11472 Ventura Blvd Unit 2,"Studio City, CA 91604"
Studio-City_Los-Angeles_CA,20000.0,20000.0,4,4,4.0,4.0,4638.0,4638.0,11662 Duque Dr,"Studio City, CA 91604"
Studio-City_Los-Angeles_CA,2598.0,2598.0,2,2,1.0,1.0,950.0,950.0,11837 Laurelwood Dr Apt 15,"Studio City, CA 91604"
Studio-City_Los-Angeles_CA,5500.0,5500.0,3,3,4.0,4.0,2130.0,2130.0,11851 Laurelwood Dr Apt 112,"Studio City, CA 91604"
Studio-City_Los-Angeles_CA,4650.0,4650.0,3,3,2.0,2.0,1850.0,1850.0,10718 Acama St Apt 302,"Studio City, CA 91602"
Studio-City_Los-Angeles_CA,2845.0,2845.0,1,1,1.0,1.0,719.0,719.0,3930 Laurel Canyon Blvd Apt 119,"Studio City, CA 91604"
Studio-City_Los-Angeles_CA,1895.0,1895.0,1,1,1.0,1.0,750.0,750.0,4151 Arch Dr Apt 221,"Studio City, CA 91604"
Studio-City_Los-Angeles_CA,2795.0,2795.0,2,2,2.0,2.0,1200.0,1200.0,4225 Ethel Ave Apt 2,"Studio City, CA 91604"
Studio-City_Los-Angeles_CA,1995.0,1995.0,1,1,1.0,1.0,750.0,750.0,4151 Arch Dr Apt 309,"Studio City, CA 91604"
Studio-City_Los-Angeles_CA,2745.0,2745.0,1,1,1.0,1.0,719.0,719.0,3930 Laurel Canyon Blvd Apt 118,"Studio City, CA 91604"
Studio-City_Los-Angeles_CA,2820.0,2820.0,1,1,1.0,1.0,650.0,650.0,10925 Bluffside Dr Unit 628,"Los Angeles, CA 91604"
Studio-City_Los-Angeles_CA,4095.0,4095.0,2,2,2.0,2.0,1440.0,1440.0,4170 Fair Ave Ph 5,"Studio City, CA 91602"
Studio-City_Los-Angeles_CA,3395.0,3395.0,2,2,2.0,2.0,1048.0,1048.0,3930 Laurel Canyon Blvd Apt 108,"Studio City, CA 91604"
Studio-City_Los-Angeles_CA,3475.0,3475.0,2,2,2.0,2.0,1048.0,1048.0,3930 Laurel Canyon Blvd Apt 222,"Studio City, CA 91604"
Studio-City_Los-Angeles_CA,4630.0,4630.0,2,2,2.0,2.0,999.0,999.0,10989 Bluffside Dr Unit 923,"Los Angeles, CA 91604"
Studio-City_Los-Angeles_CA,3350.0,3350.0,2,2,2.0,2.0,1048.0,1048.0,3930 Laurel Canyon Blvd Apt 121,"Studio City, CA 91604"
